,fid,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이
602,1055,0.0,2255.73,0.0,0.0,991.51,0.0,4360.41,0.0,570.9245340200328,537.835258526422,536.5423803275794,115.87119586080465,1.5,11483,337.094160021343
603,1056,0.0,260.19,0.0,0.0,0.0,0.0,601.7,0.0,535.1463534109192,475.9956132151658,438.8902636222924,34.71513085706563,1.5,43727,421.75970522427696
604,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.53454061223,428.80812993893164,342.594697400019,75.29477297162819,1.5,32244,110.88066460259701
605,1058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.9465734242248,401.472951542544,249.23305447013686,43.90519356126132,1.0,32244,47.3912969718748
606,1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.3386094215313,398.1007150913826,163.89822990680153,95.93368449199706,0.5,23824,0.0
607,1060,0.0,20179.45,0.0,0.0,87634.3188,0.0,0.0,0.0,572.7861417606605,419.2700298211221,107.73889577088157,80.27581675587464,0.5,23824,103.26710173679399
608,1061,0.0,51159.22,0.0,0.0,87634.3188,0.0,0.0,0.0,623.3043722634455,461.61679613319563,127.87585826627468,130.52051299681423,0.5,23824,86.27861254750471
609,1062,0.0,33.32,0.0,0.0,0.0,0.0,0.0,0.0,684.7862679896689,519.9926009614227,202.72228827306517,149.50061422763193,0.0,23824,17.321479082865
610,1063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.5565858343663,589.6558942757538,292.98454356580805,70.4262803178483,0.0,38802,0.0
611,1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.4730127424771,667.0797345633538,388.05036392509993,86.99892616273839,0.0,38802,104.130814203382
612,1065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.8919408174468,749.8641216209552,485.1038576294094,123.99581226640407,0.0,14978,0.0
613,1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.4403097399345,836.4188899930538,583.1534497878416,148.15936936296117,0.0,14978,100.94300298035601
614,1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.4249514746822,925.6870141664783,681.7695100855682,220.28836067745385,0.5,14978,0.0
615,1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.6794011193281,1016.9542108030589,780.7374138164264,308.3865282711382,0.5,14978,16.036895231981198
616,1069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.97092461257796,1109.7273609142387,879.9384520268098,392.7831241278569,0.5,14978,103.245589112133
617,1070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.6713113858879,1203.6582963042079,979.3017793015532,293.0051813345168,1.5,14978,103.245587085186
618,1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0182727014168,1298.49578473588,1078.7825527411235,193.45545638221748,3.0,14978,103.209597291692
619,1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.7325728816588,1394.0548201966403,1178.3510269986755,94.85522939725234,7.111111111111111,14978,211.303142391053
620,1073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.1053151932635,1481.2978936624856,1277.9867038128755,23.86501855235998,11.25,14978,207.73477643013902
621,1074,0.0,73.5,0.0,0.0,0.0,0.0,130.12,0.0,394.2308303165548,1567.0238599261293,1377.6750026710358,110.18660219092669,12.0,14978,190.523956955491
622,1075,0.0,73.5,0.0,0.0,0.0,0.0,0.0,0.0,452.4772253374732,1654.352937333055,1477.4052715525347,84.12698380921445,11.333333333333302,14978,2.53117317112609
623,1097,0.0,2634.64,0.0,0.0,0.0,0.0,4208.575,0.0,1072.9420090288306,2183.669375807924,609.8329897322639,61.249172342720854,1.0,7044,207.854473379864
624,1098,0.0,9182.94,0.0,0.0,0.0,0.0,39916.2994,0.0,973.4279219171117,2084.6403595868583,608.4581237303828,38.05311131507249,1.5,7044,210.253404400037
625,1099,0.0,170.98,0.0,0.0,0.0,0.0,41452.0952,0.0,874.0244917403703,1985.708550199265,623.3344359239317,126.66070096157769,1.5,7044,215.649177410041
626,1100,0.0,1262.485,0.0,841.71,4039.82,0.0,7869.74,0.0,774.7743114753233,1886.8892377132422,653.3527893792201,95.83203410470652,1.5,7044,130.564221899313
627,1101,0.0,4092.54,0.0,0.0,9778.6694,0.0,105042.3325,0.0,675.7449103355989,1788.201072585916,675.0640460635036,90.09776044818493,1.0,14534,196.168595641534
628,1102,0.0,4969.17,0.0,0.0,4336.98,0.0,2540.36,0.0,577.0499653681032,1689.6670346973895,702.3164216308929,49.31512855943528,1.5,21305,314.87210943372503
629,1103,3392.4,0.0,0.0,0.0,0.0,0.0,1740.63,0.0,478.8963037843513,1591.3157549079046,742.1487606590078,93.42063721953802,1.5,6771,186.709821794415
630,1104,3423.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.7017233285857,1493.1833467615695,792.6668574128674,130.56535607861017,2.5,6771,0.0
631,1105,97.6,162.42,0.0,0.0,0.0,0.0,5267.45,0.0,286.444182991349,1395.3159906700448,851.9719759396779,165.50544125752285,2.0,6771,173.47280800775397
632,1106,0.0,422.85,0.0,0.0,0.0,0.0,15797.595,0.0,195.96903558571083,1297.7736521152615,918.3633734929364,117.6338098887386,1.5,6771,288.93826338746004
633,1107,0.0,1078.66,0.0,0.0,0.0,0.0,4608.74,0.0,121.4783289766318,1200.6355491890035,990.4170135873097,142.41806126648228,2.0,6771,384.65757018311007
634,1108,0.0,1537.98,0.0,625.3,0.0,0.0,9059.13,0.0,105.40225081103829,1104.0083891732443,1050.7751168380942,178.26617606231534,2.5,6771,406.712906970048
635,1109,0.0,8037.485,0.0,574.7,548.62,0.0,3692.785,0.0,165.7160616946647,1008.0391144651549,1073.1109715651264,82.60229690380599,2.0,18254,330.943662754659
636,1110,0.0,16886.58,0.0,0.0,847.72,0.0,3353.475,0.0,252.61338106646443,912.9352226558195,1026.2742843246103,6.3714671436802455,1.5,18254,334.221690998949
637,1111,0.0,8508.35,0.0,685.96,0.0,0.0,3187.335,864.54,346.6478848134288,818.9982397874717,926.2765254006983,48.63225126063661,2.5,11483,252.756101944516
638,1112,0.0,3252.79,0.0,0.0,0.0,0.0,2184.32,0.0,443.30071098728996,726.6808407586004,826.27902275639,145.5600837443144,4.0,11483,313.636320316198
639,1113,0.0,360.5,0.0,0.0,0.0,0.0,5979.96,0.0,541.1707801054871,636.6879168121283,726.2818822508742,69.75612570985716,3.5,11483,605.645748640072
