,grid,rank,grid_tmp
457,2652,2652,2652
1168,2652,2652,2652
1880,2652,2652,2652
939,2652,2652,2652
2638,2652,2652,2652
2344,2652,2652,2652
1210,2652,2652,2652
983,2652,2652,2652
126,2652,2652,2652
2644,2652,2652,2652
2436,2652,2652,2652
2563,2652,2652,2652
1770,2652,2652,2652
940,2652,2652,2652
1738,2652,2652,2652
702,2652,2652,2652
2582,2652,2652,2652
1179,2652,2652,2652
634,2652,2652,2652
1469,2652,2652,2652
2419,2652,2652,2652
2353,2652,2652,2652
2167,2652,2652,2652
1033,2652,2652,2652
390,2652,2652,2652
799,2652,2652,2652
1627,2652,2652,2652
1156,2652,2652,2652
2542,2652,2652,2652
2135,2652,2652,2652
909,2652,2652,2652
347,2652,2652,2652
2589,2652,2652,2652
1578,2652,2652,2652
1809,2652,2652,2652
698,2652,2652,2652
1931,2652,2652,2652
1718,2652,2652,2652
1100,2652,2652,2652
2037,2652,2652,2652
1571,2652,2652,2652
1635,2652,2652,2652
979,2652,2652,2652
1374,2652,2652,2652
304,2652,2652,2652
1813,2652,2652,2652
387,2652,2652,2652
432,2652,2652,2652
1620,2652,2652,2652
21,2652,2652,2652
1056,2652,2652,2652
941,2652,2652,2652
2262,2652,2652,2652
1283,2652,2652,2652
697,2652,2652,2652
8,2652,2652,2652
1157,2652,2652,2652
812,2652,2652,2652
2346,2652,2652,2652
22,2652,2652,2652
1519,2652,2652,2652
1323,2652,2652,2652
20,2652,2652,2652
2086,2652,2652,2652
778,2652,2652,2652
2650,2652,2652,2652
2175,2652,2652,2652
2507,2652,2652,2652
660,2652,2652,2652
381,2652,2652,2652
927,2652,2652,2652
363,2652,2652,2652
743,2652,2652,2652
362,2652,2652,2652
2495,2652,2652,2652
369,2652,2652,2652
1964,2652,2652,2652
349,2652,2652,2652
1531,2652,2652,2652
657,2652,2652,2652
1674,2652,2652,2652
1231,2652,2652,2652
182,2652,2652,2652
1313,2652,2652,2652
779,2652,2652,2652
2617,2652,2652,2652
591,2652,2652,2652
1155,2652,2652,2652
412,2652,2652,2652
1507,2652,2652,2652
632,2652,2652,2652
1105,2652,2652,2652
629,2652,2652,2652
2536,2652,2652,2652
659,2652,2652,2652
1411,2652,2652,2652
1684,2652,2652,2652
1505,2652,2652,2652
1626,2652,2652,2652
1624,2652,2652,2652
350,2652,2652,2652
1676,2652,2652,2652
413,2652,2652,2652
10,2652,2652,2652
2470,2652,2652,2652
2381,2652,2652,2652
1150,2652,2652,2652
2165,2652,2652,2652
2134,2652,2652,2652
1671,2652,2652,2652
35,2652,2652,2652
2553,2652,2652,2652
1882,2652,2652,2652
1879,2652,2652,2652
1841,2652,2652,2652
938,2652,2652,2652
1282,2652,2652,2652
1650,2652,2652,2652
1438,2652,2652,2652
2331,2652,2652,2652
1746,2652,2652,2652
2323,2652,2652,2652
840,2652,2652,2652
1225,2652,2652,2652
2403,2652,2652,2652
1125,2652,2652,2652
1651,2652,2652,2652
1743,2652,2652,2652
2491,2652,2652,2652
838,2652,2652,2652
1173,2652,2652,2652
1906,2652,2652,2652
2412,2652,2652,2652
1935,2652,2652,2652
2517,2652,2652,2652
2150,2652,2652,2652
2525,2652,2652,2652
1846,2652,2652,2652
1541,2652,2652,2652
2368,2652,2652,2652
2285,2652,2652,2652
2400,2652,2652,2652
1470,2652,2652,2652
2329,2652,2652,2652
2487,2652,2652,2652
761,2652,2652,2652
168,2652,2652,2652
2050,2652,2652,2652
784,2652,2652,2652
2406,2652,2652,2652
2309,2652,2652,2652
2327,2652,2652,2652
1174,2652,2652,2652
2450,2652,2652,2652
2544,2652,2652,2652
1643,2652,2652,2652
1754,2652,2652,2652
1805,2652,2652,2652
1068,2652,2652,2652
1123,2652,2652,2652
2280,2652,2652,2652
1014,2652,2652,2652
1853,2652,2652,2652
33,2652,2652,2652
1893,2652,2652,2652
2088,2652,2652,2652
2407,2652,2652,2652
2596,2652,2652,2652
1752,2652,2652,2652
839,2652,2652,2652
2623,2652,2652,2652
1904,2652,2652,2652
1694,2652,2652,2652
1753,2652,2652,2652
2099,2652,2652,2652
2369,2652,2652,2652
2606,2652,2652,2652
1281,2652,2652,2652
2286,2652,2652,2652
1787,2652,2652,2652
1600,2652,2652,2652
1999,2652,2652,2652
1751,2652,2652,2652
1855,2652,2652,2652
2370,2652,2652,2652
1548,2652,2652,2652
2366,2652,2652,2652
949,2652,2652,2652
1950,2652,2652,2652
1391,2652,2652,2652
1393,2652,2652,2652
1493,2652,2652,2652
1496,2652,2652,2652
1139,2652,2652,2652
1545,2652,2652,2652
2550,2652,2652,2652
1834,2652,2652,2652
1546,2652,2652,2652
2139,2652,2652,2652
193,2652,2652,2652
1648,2652,2652,2652
1794,2652,2652,2652
2621,2652,2652,2652
1494,2652,2652,2652
1443,2652,2652,2652
2515,2652,2652,2652
61,2652,2652,2652
2598,2652,2652,2652
1444,2652,2652,2652
2593,2652,2652,2652
1543,2652,2652,2652
1672,2652,2652,2652
2410,2652,2652,2652
1702,2652,2652,2652
2559,2652,2652,2652
1997,2652,2652,2652
2225,2652,2652,2652
730,2652,2652,2652
2411,2652,2652,2652
1445,2652,2652,2652
2394,2652,2652,2652
873,2652,2652,2652
2001,2652,2652,2652
2449,2652,2652,2652
2548,2652,2652,2652
2317,2652,2652,2652
1006,2652,2652,2652
2272,2652,2652,2652
2276,2652,2652,2652
2479,2652,2652,2652
882,2652,2652,2652
1903,2652,2652,2652
2444,2652,2652,2652
1598,2652,2652,2652
1892,2652,2652,2652
2233,2652,2652,2652
951,2652,2652,2652
2480,2652,2652,2652
1471,2652,2652,2652
1750,2652,2652,2652
2614,2652,2652,2652
1176,2652,2652,2652
2142,2652,2652,2652
1745,2652,2652,2652
1885,2652,2652,2652
2405,2652,2652,2652
135,2652,2652,2652
2141,2652,2652,2652
2442,2652,2652,2652
1795,2652,2652,2652
1944,2652,2652,2652
1993,2652,2652,2652
2356,2652,2652,2652
1644,2652,2652,2652
1547,2652,2652,2652
1544,2652,2652,2652
937,2652,2652,2652
